,Image,Accuracy,F1,Jaccard,Recall,Precision
274,pexels-photo-413948_0,0.9608078002929688,0.9718580686866916,0.9452567190264072,0.9456850275333039,0.9995210916855882
275,pexels-photo-414011_0,0.9903717041015625,0.9891769508503212,0.9785856700462393,0.9939248229150509,0.9844742232843974
276,pexels-photo-414032_0,0.9303855895996094,0.9630255472012351,0.9286878231204793,0.9999915844750396,0.9286950813009719
277,pexels-photo-415173_0,0.9808769226074219,0.9638793817775696,0.9302771943976967,0.9383689445699295,0.9908156312031523
278,pexels-photo-415188_eivw722GsP_0,0.9897499084472656,0.9696277792221003,0.9410461187414981,0.9601101336377678,0.9793360124212257
279,pexels-photo-415215_0,0.9945564270019531,0.9890081110434977,0.9782552380952381,0.9921951068729425,0.9858415233415233
280,pexels-photo-415307_0,0.9921455383300781,0.9705086153802083,0.9427068840781345,0.9686910276205181,0.9723330367649169
281,pexels-photo-415460_0,0.9939765930175781,0.9855282332346552,0.9714693553050014,0.9985884363217622,0.9728052399218354
282,pexels-photo-415484_0,0.9755172729492188,0.9687837430325199,0.9394573994415516,0.9542562569468399,0.9837603967046644
283,pexels-photo-415829_0,0.9043464660644531,0.9308293035483256,0.8706086938573315,0.9374468676205029,0.9243045131318001
284,pexels-photo-427547_0,0.9800529479980469,0.9870672704743485,0.9744647810290269,0.9995441749566716,0.9748980140215453
285,pexels-photo-428311_0,0.9836845397949219,0.984133225996728,0.9687620967447431,0.9993294607809898,0.9693922296605958
286,pexels-photo-428327_0,0.8874320983886719,0.8635983340960253,0.7599411018190101,0.886096961763562,0.8422139276569657
287,pexels-photo-428372_0,0.9900741577148438,0.985714442577769,0.9718312908673624,0.9866136193783795,0.9848169032626105
288,pexels-photo-428377_0,0.9928970336914062,0.9947180301826846,0.9894915655987042,0.9936581882480957,0.9957801353991549
289,pexels-photo-428539_0,0.9907951354980469,0.9911142698271831,0.9823850612471348,0.9863452461227242,0.9959296344811764
290,pexels-photo-432059_0,0.99212646484375,0.9937075856518319,0.9874938650864341,0.9967828942942245,0.9906511947384097
291,pexels-photo-432482_0,0.9679908752441406,0.9480269311051788,0.901189354686764,0.9562539047857054,0.9399403087731365
292,pexels-photo-432722_0,0.9535903930664062,0.9603997135603151,0.9238163225689291,0.9358831216615705,0.9862353428796813
293,pexels-photo-433398_0,0.9954566955566406,0.9951877426836314,0.9904215791928713,0.9966011442814252,0.9937783444424719
294,pexels-photo-437645_0,0.9865913391113281,0.9906073051917687,0.9813894139386142,0.9993907337614372,0.9819769228324098
295,pexels-photo-439851_8Sxw4y5pav_0,0.9820899963378906,0.9598164996276929,0.9227376701170042,0.9350320170757738,0.9859506602662165
296,pexels-photo-442535_0,0.9664230346679688,0.9634480582040463,0.9294739794078762,0.9730570817430693,0.9540269587887461
297,pexels-photo-442542_NK0n2rDYBR_0,0.9968605041503906,0.9769963943315537,0.9550273224043716,0.9861197314224454,0.9680403234740224
298,pexels-photo-442582_0,0.9801559448242188,0.9853637949468235,0.971149846653837,0.9997602069071829,0.9713761101465033
299,pexels-photo-446169_0,0.9892425537109375,0.9883738188294661,0.9770148669796557,0.9960281189237697,0.9808362654447262
300,pexels-photo-447186_0,0.9914093017578125,0.9919596698180572,0.9840476021817667,0.9906298134519939,0.9932931014758036
301,pexels-photo-449609_0,0.9957008361816406,0.9570715727726355,0.9176771365960555,0.9534760170006071,0.9606943488567714
302,pexels-photo-449977_0,0.9935150146484375,0.9949583021934351,0.9899671867991785,0.9911253441735698,0.9988210215431518
303,pexels-photo-451552_0,0.9949111938476562,0.9946420538525801,0.9893412168910551,0.9964510469813781,0.9928396170437962
304,pexels-photo-45683_0,0.9901123046875,0.9739738131576834,0.9492679871604165,0.9880416403528429,0.9603009603009603
305,pexels-photo-45720_0,0.8613929748535156,0.7626388988692113,0.6163430369455267,0.6505728679060229,0.9213479599084524
306,pexels-photo-458753_0,0.9902839660644531,0.9924801818691782,0.9850726149590332,0.988903597799547,0.9960827308284935
307,pexels-photo-459579_0,0.9924850463867188,0.9878961402818909,0.976081783303385,0.9853051119581336,0.9905008316392534
308,pexels-photo-461375_0,0.9831352233886719,0.9822951082277087,0.9652062362764927,0.9913268399143192,0.9734264624176522
309,pexels-photo-462359_0,0.9917221069335938,0.9926470588235294,0.9854014598540146,0.99659806089471,0.9887272604542846
310,pexels-photo-462620_0,0.9972114562988281,0.9911720306744761,0.9824985634935836,0.9904902126427072,0.9918547880311307
311,pexels-photo-462677_0,0.9830207824707031,0.9674375050295924,0.9369287667738873,0.9737993195776079,0.9611582742179323
312,pexels-photo-464181_0,0.9648971557617188,0.9685545767067395,0.9390264912071457,0.9783233003810681,0.9589790090541217
313,pexels-photo-47482_0,0.9560165405273438,0.9307715400780546,0.870507637017071,0.886142519063897,0.9801342926872447
314,pexels-photo-478544_0,0.9828987121582031,0.9835994805099781,0.9677282347351599,0.9999107428426917,0.9678118385624397
315,pexels-photo-50857_0,0.9766769409179688,0.977285223878379,0.9555794505917654,0.989698556744473,0.9651794232039334
316,pexels-photo-519280_0,0.9647102355957031,0.8208663323199659,0.6961605412684336,0.6965265683020604,0.9992457099754856
317,pexels-photo-529923_0,0.9837417602539062,0.9698150089237655,0.9413988917763203,0.9584651566480947,0.9814368854103953
318,pexels-photo-532565_0,0.998504638671875,0.024875621890547265,0.012594458438287154,0.012594458438287154,1.0
319,pexels-photo-53758_0,0.9862136840820312,0.9685564140043154,0.939029945170814,0.9603844229342443,0.9768686709138454
320,pexels-photo-551650_0,0.9921112060546875,0.9845464056194888,0.9695631696691392,0.9987870701679907,0.9707061181185901
321,pexels-photo-562612_0,0.9990272521972656,0.9940913409180434,0.9882520961946005,0.9969326578984059,0.9912661737523105
322,pexels-photo-564104_0,0.9600639343261719,0.9296121237385113,0.8684815517392998,0.9344308827703661,0.9248428093645485
323,pexels-photo-567630_zsScCnqWcy_0,0.9920921325683594,0.9863787790181945,0.9731236467827462,0.9811503267973857,0.991663253577138
324,pexels-photo-567634_0,0.9835395812988281,0.9099033261645754,0.8346996628869139,0.854839342461454,0.9725495447241564
325,pexels-photo-571169_0,0.9978218078613281,0.9246801213560216,0.8599116781157998,0.9960215970446149,0.862875430822255
326,pexels-photo-573254_0,0.9969253540039062,0.9695665307355384,0.9409307438622206,0.9719887955182073,0.9671563088512241
327,pexels-photo-573266_0,0.9673805236816406,0.8483085274343191,0.7365761991312653,0.9656314365332579,0.7564062005694401
328,pexels-photo-573297_j8GvDLF2pW_0,0.9905624389648438,0.9843103929377742,0.9691055083105433,0.9828269652106736,0.9857983054507578
329,pexels-photo-573558_0,0.9913711547851562,0.9872776971619478,0.9748750416527824,0.9787124903821492,0.9959941444150656
330,pexels-photo-578284_0,0.9932594299316406,0.9882775960779371,0.976826837328857,0.9805689761851476,0.9961083770193645
331,pexels-photo-580012_0,0.9708671569824219,0.9838950829075311,0.9683006807238917,0.9997771444489683,0.9685097231678762
332,pexels-photo-58091_0,0.9891395568847656,0.9464718822268599,0.8983831245315345,0.9286452184179457,0.9649963577809301
333,pexels-photo-584314_0,0.9904403686523438,0.995094949716384,0.9902377835951134,0.9978214191785769,0.9923833393844989
334,pexels-photo-588250_0,0.9885406494140625,0.9900730969029649,0.9803413433851631,0.9867601143504552,0.9934084006419184
335,pexels-photo-588561_0,0.99481201171875,0.974876228478534,0.9509839256108988,0.9936358501223875,0.9568118359502484
336,pexels-photo-589312_0,0.9748725891113281,0.9783509661049816,0.9576194305935338,0.967504566521708,0.9894433143206627
337,pexels-photo-590054_0,0.9939994812011719,0.9873366769443795,0.9749900628030845,0.990166475593806,0.9845230067751983
338,pexels-photo-590479_0,0.9933319091796875,0.9956254504684872,0.9912890076046764,0.9944408338749188,0.9968128927508344
339,pexels-photo-590485_0,0.976348876953125,0.9653375673681149,0.932997600881838,0.996824810354582,0.9357786232237505
340,pexels-photo-590515_aDWzPPH780_0,0.988128662109375,0.9867479730190093,0.9738425848098712,0.9912306968387732,0.9823056118426072
341,pexels-photo-593561_0,0.9836616516113281,0.980234709935254,0.9612356092969372,0.9837348672205704,0.9767593716661148
342,pexels-photo-595870_AMiBJc8UTk_0,0.9957389831542969,0.9514284471887638,0.9073567222360455,0.9568792093063938,0.9460394327222414
343,pexels-photo-604889_0,0.9490089416503906,0.9405602024163677,0.8877901364113326,0.888774969956216,0.9987534233638682
344,pexels-photo-605208_0,0.9924430847167969,0.9849302042524057,0.970307862945532,0.9736644206473348,0.9964597410993273
345,pexels-photo-60682_0,0.9850311279296875,0.9900230354990771,0.9802431840495431,0.998138976898705,0.9820380122268628
346,pexels-photo-610523_0,0.9977874755859375,0.9985704708573232,0.9971450229874873,0.9984523480935295,0.9986886215736541
347,pexels-photo-613713_0,0.9832382202148438,0.9748258318819323,0.9508880170785412,0.9718636477872467,0.97780612831299
348,pexels-photo-615475_0,0.964385986328125,0.9248018557896773,0.8601222581805106,0.873112196012228,0.9829968664920121
349,pexels-photo-615477_0,0.9446487426757812,0.9430158031983411,0.8921758774178686,0.986135409736425,0.9035091019919779
350,pexels-photo-616376_0,0.9936027526855469,0.9887185420885162,0.9776887871853547,0.9810300635446147,0.996528484059504
351,pexels-photo-616384_0,0.9871597290039062,0.9809937888198758,0.9626965744239913,0.9724063045717101,0.9897342995169082
352,pexels-photo-618546_0,0.9917755126953125,0.9876565827741773,0.975614170022169,0.9855012853470437,0.9898213281617572
353,pexels-photo-618670_0,0.9867401123046875,0.9807938823321399,0.9623116122736637,0.9756617711722804,0.9859802701741912
354,pexels-photo-631164_0,0.9532051086425781,0.9648931512024245,0.9321676813589689,0.9735723526150434,0.9563673291086817
355,pexels-photo-631546_0,0.9936332702636719,0.9956632116139661,0.991363876269029,0.9959970679822623,0.995329578986742
356,pexels-photo-638484_0,0.994964599609375,0.9967519205500082,0.9935248728275212,0.9985800566991249,0.9949304658371363
357,pexels-photo-661899_0,0.9766654968261719,0.985390878195223,0.971202463114484,0.9949504205571418,0.9760132849498739
358,pexels-photo-671611_0,0.9833717346191406,0.9834409035135371,0.9674212811754946,0.9871421380961823,0.9797673203999606
359,pexels-photo-674131_eNsXQ2oYPg_0,0.948516845703125,0.9635473781446329,0.9296588747296276,0.9813165350865128,0.9464102849805538
360,pexels-photo-675926_0,0.9935493469238281,0.9869597069597069,0.9742551345096905,0.9896843440201674,0.9842500307616586
361,pexels-photo-67818_0,0.99676513671875,0.9850804039551005,0.9705994522067746,0.9904825926974243,0.9797368236858682
362,pexels-photo-678330_0,0.9883499145507812,0.8483012120007947,0.736565168636246,0.7462203967491042,0.9827367936471401
363,pexels-photo-679350_S5ZxwwUQak_0,0.9964408874511719,0.9842555561180579,0.9689992025518341,0.9888779627683022,0.9796761623219564
364,pexels-photo-681993_0,0.9873390197753906,0.6965346987290848,0.5343714927048261,0.5502744871424444,0.9486924034869241
365,pexels-photo-682013_0,0.808349609375,0.8915544580529018,0.8043286064255307,1.0,0.8043286064255307
